ID	Dist.(miles)	Alt(ft)	Time
ABF351/SWA4970 	1.0	25225	2022-01-13 02:10:38.800000
A5AC8A/N465DS  	1.8	900	2022-01-13 02:10:41.800000
A23CCB/SKW3931 	0.6	23350	2022-01-13 02:12:11.800000
A5AC8A/N465DS  	0.7	1925	2022-01-13 02:17:08.800000
A52E4D/N433AK  	0.8	1800	2022-01-13 02:21:44.800000
A5678E/N4474M  	1.4	8900	2022-01-13 02:23:13.800000
A34291/UPS902  	2.4	8675	2022-01-13 02:29:23.800000
A14D65/N183SD  	0.9	1225	2022-01-13 02:29:31.800000
A74429/N5676V  	0.4	875	2022-01-13 02:39:52.800000
A2B6FF/SKW3562 	0.6	23575	2022-01-13 02:42:01.800000
A2B7C2/N2740T  	1.8	9800	2022-01-13 02:43:28.800000
